GivenName,Surname,City,StateFull,CountryFull,EmailAddress,Username,TelephoneNumber,Birthday,Occupation,Company
Jose,King,Cooksville,Ontario,Canada,JoseIKing@gustr.com,Thoulladay,905-281-7624,11/16/1997,"Fast-food cook","Golden Dawn"
Gregory,Lane,Toronto,Ontario,Canada,GregoryCLane@cuvox.de,Havers,416-297-7413,7/11/1980,"Occupational therapist assistant","Parts and Pieces"
Jeremy,Ramos,"Chalk River",Ontario,Canada,JeremyGRamos@rhyta.com,Suren1956,613-589-4966,4/11/1956,"Combined food preparation and serving worker","Rex Audio Video Appliance"
Faye,Alexander,Newmarket,Ontario,Canada,FayeDAlexander@superrito.com,Famitenton1944,289-231-5229,4/28/1944,"Operations director","Consumers Food and Drug"
Louise,McHale,Brantford,Ontario,Canada,LouiseFMcHale@rhyta.com,Nothad,519-717-5206,6/5/1953,"Network systems and data communications analyst","Farmer Jack"
Henry,Ledesma,Chatham,Ontario,Canada,HenryELedesma@cuvox.de,Cama1979,519-360-4034,1/30/1979,"Certified pest control applicator","Sanitary Grocery Stores"
Cheryl,Morehead,Gracefield,Quebec,Canada,CherylSMorehead@superrito.com,Clacknesing1975,819-463-4386,10/28/1975,"Airline pilots","Pro Star Garden Management"
William,Pasquale,Calgary,Alberta,Canada,WilliamSPasquale@armyspy.com,Knounge,403-690-5601,9/11/1955,"Electronic equipment repairer","Lawnscape Garden Maintenance"
Nancy,Gasaway,Grimsby,Ontario,Canada,NancyJGasaway@dayrep.com,Hige1953,905-945-7827,1/17/1953,"Forming machine operator","Eisner Food Stores"
Ed,Jackson,"Owen Sound",Ontario,Canada,EdLJackson@cuvox.de,Darke1966,519-370-0785,8/19/1966,"Photographic equipment repairer",Stratacard
William,Lewis,Toronto,Ontario,Canada,WilliamMLewis@jourrapide.com,Andiflamboy,416-814-6636,10/18/1954,"Operations research analyst","Linens 'n Things"
Erlinda,Malone,Vancouver,"British Columbia",Canada,ErlindaJMalone@armyspy.com,Hattlem,604-317-4676,2/13/1968,Paleomagnetist,"Atlas Architectural Designs"
Laura,Farish,Calgary,Alberta,Canada,LauraHFarish@superrito.com,Stioser,403-231-0725,10/12/1959,"Occupational therapist","Cloth World"
Linda,Gatlin,"Red Deer",Alberta,Canada,LindaJGatlin@fleckens.hu,Blene1978,403-887-4792,7/16/1978,"Wire installer",MagnaSolution
Dick,Anaya,Hespeler,Ontario,Canada,DickMAnaya@armyspy.com,Crongety,519-244-0704,6/1/1995,"Private detective","Rhodes Furniture"
Mary,Yuen,Ottawa,Ontario,Canada,MaryAYuen@einrot.com,Trity1956,613-235-5559,11/22/1956,"X-ray technician",Hastings
Michael,Fernandez,Malton,Ontario,Canada,MichaelSFernandez@teleworm.us,Flosoney,416-213-7038,3/26/1977,"Fabric mender",Practi-Plan
Michelle,Martin,Vancouver,"British Columbia",Canada,MichelleSMartin@rhyta.com,Thostan,604-434-4906,5/11/1994,"Social scientist","Thrift Auto Parts"
Daisy,Washington,Edmonton,Alberta,Canada,DaisyAWashington@superrito.com,Coloody,780-429-5637,8/13/1953,"Chief executive officer","Buck Alley Lumber"
Joseph,Guyton,Lavoy,Alberta,Canada,JosephWGuyton@armyspy.com,Therlhe,780-658-3668,1/6/1991,Secretary,"Shoe Town"
Victor,Martinez,Nanaimo,"British Columbia",Canada,VictorTMartinez@cuvox.de,Larow1969,250-758-6715,3/15/1969,Stevedore,"Farmer Jack"
Peter,Gibson,Belleville,Ontario,Canada,PeterLGibson@rhyta.com,Uplithim,613-885-1022,2/24/1956,Announcer,Gemco
Sandi,Smith,Montreal,Quebec,Canada,SandiMSmith@teleworm.us,Soply2002,514-697-7706,12/26/2002,Captain,"Giant Open Air"
Michael,Spier,Chilliwack,"British Columbia",Canada,MichaelESpier@einrot.com,Knounge,604-316-8267,8/25/1979,"Social work policy maker",Pomeroy's
Joyce,Jones,Hauterive,Quebec,Canada,JoyceJJones@armyspy.com,Eilteradde50,418-296-0152,6/2/1950,"Engine and other machine assembler","Independent Investors"
Robert,Hollaway,Vavenby,"British Columbia",Canada,RobertMHollaway@fleckens.hu,Venind,250-676-3516,1/23/1997,"Instructional assistant",Bettendorf's
Jose,Epperson,Tiverton,Ontario,Canada,JoseBEpperson@dayrep.com,Whicily,519-361-5763,12/22/1966,"Desktop publishing editor","Pro Yard Services"
Alicia,Felt,"Prince George","British Columbia",Canada,AliciaIFelt@armyspy.com,Nove1943,250-613-6210,2/24/1943,"Business support assistant","Personal & Corporate Design"
Alfred,McConnell,"Owen Sound",Ontario,Canada,AlfredMMcConnell@cuvox.de,Woureet,519-477-1268,12/24/2000,"Technical recruiter","Integra Wealth Planners"
Louis,Domenico,"Copper Cliff",Ontario,Canada,LouisHDomenico@cuvox.de,Pate1979,705-682-5345,8/17/1979,"Marble setter","Hanover Shoe"
Thomas,Tiggs,Antigonish,"Nova Scotia",Canada,ThomasITiggs@jourrapide.com,CÃ¦say,902-971-7393,7/12/2001,"Reservation and transportation ticket agent","Jack Lang"
Mamie,Rodriguez,Chicoutimi,Quebec,Canada,MamieARodriguez@rhyta.com,Clarand,418-592-6305,4/16/1945,Mediator,Gamble-Skogmo
Anna,Roman,Vancouver,"British Columbia",Canada,AnnaBRoman@dayrep.com,Youn1949,604-341-6039,9/18/1949,Constructor,"Access Asia"
James,Williams,Toronto,Ontario,Canada,JamesMWilliams@superrito.com,Stille,416-582-8830,9/16/1965,"Coatroom attendant","David Weis"
Charity,McKenna,Toronto,Ontario,Canada,CharityJMcKenna@cuvox.de,Welle1965,416-623-8962,10/3/1965,"Log debarker",Evans
Ken,Quinn,Calgary,Alberta,Canada,KenMQuinn@jourrapide.com,Willond,403-716-1197,6/1/1978,"Travel adviser","Jack Lang"
Gregory,Cunningham,Leduc,Alberta,Canada,GregoryMCunningham@dayrep.com,Allizenalice1943,780-202-9043,3/23/1943,Programmer,"Smitty's Marketplace"
Adrian,Crumb,"St Victor De Beauce",Quebec,Canada,AdrianCCrumb@superrito.com,Evisold,418-588-5160,10/21/1970,Sheriff,"House Works"
Annemarie,Vanleuven,Lanark,Ontario,Canada,AnnemarieNVanleuven@fleckens.hu,Hencers,613-259-2089,11/6/1937,"Vending machine repairer","La Petite Boulangerie"
Christopher,Raby,"Baie Des Sables",Quebec,Canada,ChristopherTRaby@einrot.com,Dreak1961,418-772-6712,2/12/1961,"Technical trainer","J. Brannam"
Mary,Choudhury,Halifax,"Nova Scotia",Canada,MaryDChoudhury@dayrep.com,Aidly1984,902-209-9416,4/19/1984,"Small engine mechanic",Kent's
Christina,Williams,Leamington,Ontario,Canada,ChristinaSWilliams@dayrep.com,Warst1964,519-322-8871,6/4/1964,"Oral and maxillofacial surgeon",Delchamps
Tracy,Washington,Chatham,Ontario,Canada,TracyFWashington@jourrapide.com,Alludy,519-388-4362,4/8/1980,"ASE teacher","Leonard Krower & Sons"
Irene,Mackenzie,Bobcaygeon,Ontario,Canada,IreneAMackenzie@teleworm.us,Weve1994,705-731-4194,1/20/1994,Farmworker,"Town and Country Convenience Stores"
John,Heisler,Ottawa,Ontario,Canada,JohnDHeisler@cuvox.de,Turnintionce,613-325-1376,5/29/1958,"Placement counselor",Grossman's
Bridget,Mitchell,Campbellford,Ontario,Canada,BridgetTMitchell@gustr.com,Thabstarbod,705-653-4932,10/6/1970,"Portfolio manager","Manning's Cafeterias"
Augusta,Johnson,Toronto,Ontario,Canada,AugustaGJohnson@fleckens.hu,Shomeady,416-376-2879,11/11/1937,"Tire repairer","Infinite Wealth"
Ernest,Rosario,Toronto,Ontario,Canada,ErnestKRosario@cuvox.de,Nuants,647-229-5456,5/27/1937,Writer,"Schaak Electronics"
Margaret,Bean,Chicoutimi,Quebec,Canada,MargaretPBean@dayrep.com,Timstrance,418-549-0708,3/26/1972,"Signal and track switch repairer","Freedom Map"
Lillian,Hamby,Trail,"British Columbia",Canada,LillianRHamby@jourrapide.com,Withavis,250-231-4594,6/26/1954,"Paper goods tender",Jafco
Ernest,Beckwith,Lethbridge,Alberta,Canada,ErnestLBeckwith@einrot.com,Beres1997,403-388-9896,3/24/1997,"Financial investigator","Home Centers"
Shasta,Coats,Waterdown,Ontario,Canada,ShastaDCoats@teleworm.us,Cholove,905-690-4892,8/2/1945,"Human resources administrative assistant","Netstars Matrix Design"
Benjamin,Robinson,"Sault Ste Marie",Ontario,Canada,BenjaminMRobinson@rhyta.com,Wasellift,705-949-5980,3/9/1979,"Theoretical mathematician","Pace Membership Warehouse"
Linda,Martinez,Toronto,Ontario,Canada,LindaJMartinez@superrito.com,Inart1941,416-470-6548,5/6/1941,"General and operations manager","Record World"
Jay,Beal,Hamilton,Ontario,Canada,JayLBeal@armyspy.com,Lontageman,905-512-7850,7/21/1994,"Record clerk","S&W Cafeteria"
Donna,Miller,Edmonton,Alberta,Canada,DonnaDMiller@einrot.com,Hoce1992,780-473-0783,10/27/1992,"Textile cutting machine operator","Quest Technology Service"
Lucille,Ellison,"Richmond Hill",Ontario,Canada,LucilleMEllison@gustr.com,Hend1939,905-224-6204,1/12/1939,Orthotist,Orion
Hal,Morris,Plamondon,Alberta,Canada,HalLMorris@gustr.com,Ingre1995,780-798-0670,10/9/1995,"Mobile heavy equipment mechanic",Weathervane
Elizabeth,Joseph,Casselman,Ontario,Canada,ElizabethTJoseph@dayrep.com,Andeten,613-764-6089,3/24/1960,"Abdominal sonographer","Forest City"
Todd,Jordan,Connaught,Ontario,Canada,ToddNJordan@einrot.com,Begazy,705-363-1372,6/2/1985,"Sound mixer","Mr. D's IGA"
Angela,Harmon,Oshawa,Ontario,Canada,AngelaWHarmon@teleworm.us,Searly,905-243-2073,2/13/2003,"Construction electrician","White Tower Hamburgers"
Miguel,Duran,Malton,Ontario,Canada,MiguelBDuran@einrot.com,Oboarcy,905-256-6098,3/14/1977,"Geographic information specialist",Veramons
Allen,Stambaugh,Brampton,Ontario,Canada,AllenPStambaugh@gustr.com,Lashass,905-872-6926,10/22/1949,"Stock broker","Poore Simon's"
Nelson,Sigmund,Victoria,"British Columbia",Canada,NelsonCSigmund@rhyta.com,Bage1957,250-360-7133,12/10/1957,"Construction job cost estimator",SoundTrack
Frederick,Lecroy,"Ville Le Gardeur",Quebec,Canada,FrederickHLecroy@superrito.com,Youct1948,450-657-3734,7/30/1948,"Signal and track switch repairer","The Fox and Hound "
Ocie,Jones,"Niagara Falls",Ontario,Canada,OcieJJones@fleckens.hu,Fooked,905-356-0419,6/12/1964,"Metal caster","Ideal Garden Management"
Brandon,Meehan,"Ville Le Gardeur",Quebec,Canada,BrandonBMeehan@rhyta.com,Evers1972,450-654-7252,2/13/1972,"Customer service representative",Sagebrush
Carmen,Mattos,Toronto,Ontario,Canada,CarmenPMattos@gustr.com,Alts1962,416-615-0527,11/5/1962,"Transportation equipment painter","Asian Fusion"
Lois,Carpenter,Edmonton,Alberta,Canada,LoisDCarpenter@rhyta.com,Aways1989,780-720-6086,5/16/1989,"Pipe organ repairer",Orion
Jack,McDaniel,Edmonton,Alberta,Canada,JackAMcDaniel@teleworm.us,Paten1999,780-988-8138,3/5/1999,"Embossing machine operator","Listen Up"
Brittany,Grant,Vancouver,"British Columbia",Canada,BrittanyTGrant@armyspy.com,Tose1942,604-318-7522,2/8/1942,"News analyst","Gamma Realty"
Nicole,Blanco,Alameda,Saskatchewan,Canada,NicoleFBlanco@jourrapide.com,Majects,306-489-0738,8/7/1985,"Fishing vessel operator",Peaches
Ursula,Hibbs,"Grande Prairie",Alberta,Canada,UrsulaTHibbs@jourrapide.com,Carsed,780-513-8821,4/24/1946,"Obstetric sonographer","S&W Cafeteria"
Jesse,Bizzell,Calgary,Alberta,Canada,JesseMBizzell@dayrep.com,Beenarile,403-207-5986,6/19/1973,"Treatment plant and system operator","Giant Open Air"
Catherine,Hagen,Vancouver,"British Columbia",Canada,CatherineWHagen@rhyta.com,Nere1977,604-603-2201,11/17/1977,"Disc jockey","Alert Alarm Company"
Gary,Chambers,Toronto,Ontario,Canada,GaryJChambers@armyspy.com,Phroper,416-696-8698,9/14/1972,"Identification clerk","Rainbow Records"
Archie,Johnson,Victoria,"British Columbia",Canada,ArchieEJohnson@superrito.com,Oyarmsen,250-704-6197,9/8/1987,"Cargo and freight agent","Eden Lawn Service"
Anthony,Meier,Banff,Alberta,Canada,AnthonyDMeier@dayrep.com,Knorted,403-762-8336,5/9/1962,"Speech pathologist",Opticomp
Ricky,Potter,Burlington,Ontario,Canada,RickyCPotter@fleckens.hu,Prompoing1948,905-335-9390,3/11/1948,"Emergency care nurse","Star Merchant Services"
Robert,Wood,Montreal,Quebec,Canada,RobertEWood@armyspy.com,Tinshe,514-267-5081,10/14/1951,"Cost estimator","John F. Lawhon"
Karen,Walker,Longueuil,Quebec,Canada,KarenCWalker@teleworm.us,Imest1984,450-463-8429,4/6/1984,"Vascular technologist","Rolling Thunder"
Sarah,Jones,"Thetford Mines",Quebec,Canada,SarahMJones@rhyta.com,Ingentersed,418-333-7960,3/9/1981,"Animal scientist","Environ Architectural Design"
Lisa,Thompson,Hawkesbury,Ontario,Canada,LisaDThompson@teleworm.us,Trailtandes,613-636-9501,2/16/1944,"Executive recruiter",SoundTrack
Thomas,Elbert,Lambeth,Ontario,Canada,ThomasLElbert@dayrep.com,Surnifeen1938,519-652-9775,7/10/1938,"Commodities trader",Profitpros
Carl,Townsend,"St Gedeon De Beauce",Quebec,Canada,CarlJTownsend@armyspy.com,Theins,418-582-3106,6/30/1957,"Welding machine tender",McDuff
Stefan,Bernal,Toronto,Ontario,Canada,StefanLBernal@armyspy.com,Inineentemed70,416-742-8051,6/1/1970,"Speech therapist",Choices
Kelley,Allen,Genelle,"British Columbia",Canada,KelleyCAllen@gustr.com,Butwousuble,250-693-4414,1/5/1980,"Dairy scientist","Circuit Design"
Jerry,Reid,Ottawa,Ontario,Canada,JerryMReid@teleworm.us,Antiont,613-755-2472,5/24/1986,"Knitting machine operator",Raleigh's
Shawn,Hernandez,"Val Des Bois",Quebec,Canada,ShawnDHernandez@einrot.com,Irly1973,819-454-1355,6/15/1973,"Silvering applicator","Pay'N Takeit"
Ira,Rosario,Milton,Ontario,Canada,IraJRosario@armyspy.com,Knothinnew,905-693-1223,7/10/1987,"Rock splitter","Funtown toys"
Cassandra,Davis,Montreal,Quebec,Canada,CassandraRDavis@jourrapide.com,Dist1966,514-242-2352,12/28/1966,"Gas compressor and gas pumping station operator","Present Company"
Ronnie,Purcell,Quebec,Quebec,Canada,RonniePPurcell@rhyta.com,Eurgentlem01,418-574-9818,5/10/2001,"Train dispatcher","Bugle Boy"
Luther,Anderson,Calgary,Alberta,Canada,LutherGAnderson@cuvox.de,Wervelf,403-530-4199,5/8/1941,"Human resources administrative assistant","Liberty Wealth Planner"
Greg,Ferrante,Sudbury,Ontario,Canada,GregBFerrante@dayrep.com,Meso1971,705-691-9961,10/17/1971,"Railroad brake operator","Buck Alley Lumber"
Joanne,Ross,"Port Renfrew","British Columbia",Canada,JoanneMRoss@superrito.com,Obse1964,250-647-2752,12/28/1964,"Preschool teacher","De-Jaiz Mens Clothing"
Karen,Lee,Toronto,Ontario,Canada,KarenWLee@cuvox.de,Firelsom,416-346-5726,9/15/1945,"Information technology trainer","Cellophane Square"
Summer,Musselwhite,Newmarket,Ontario,Canada,SummerBMusselwhite@cuvox.de,Couse1977,905-836-0026,12/5/1977,"Forensic technician","Flagg Bros. Shoes"
Tina,Wells,Holden,Alberta,Canada,TinaTWells@cuvox.de,Prooma,780-688-2570,2/20/1991,Cutter,Patterson-Fletcher
Lisa,Eskridge,"New Westminster","British Columbia",Canada,LisaGEskridge@einrot.com,Doure1957,604-813-5422,2/21/1957,"Office support secretary","Liberty Wealth Planners"
Adam,Davey,Lacorne,Quebec,Canada,AdamMDavey@armyspy.com,Antur1950,819-799-5865,9/30/1950,"Desk clerk","Mansmann's Department Store"
Robert,Yu,"St Andrews East",Quebec,Canada,RobertSYu@jourrapide.com,Introtill,450-537-8534,2/24/1940,Counselor,"Enviro Architectural Designs"
Randall,Lohman,Gooderham,Ontario,Canada,RandallLLohman@armyspy.com,Thund1962,705-447-5893,5/31/1962,"Avionics technician","Bresler's Ice Cream"
Wallace,Corona,Penticton,"British Columbia",Canada,WallaceSCorona@dayrep.com,Witand,250-460-4552,11/27/1937,Manager,"The Fox and Hound "
Rodney,Malmberg,Vancouver,"British Columbia",Canada,RodneyCMalmberg@armyspy.com,Beficed,778-838-3113,5/20/1963,"Personnel manager","Aaronson Furniture"
Chas,Williams,"Spruce View",Alberta,Canada,ChasCWilliams@rhyta.com,Thiandes,403-728-8303,9/25/1969,"Structural and reinforcing iron and metal worker","Buck Alley Lumber"
Tina,Perez,"Fort Nelson","British Columbia",Canada,TinaMPerez@superrito.com,Tueret86,867-333-9015,4/7/1986,Songwriter,"Your Future Is Now"
Lola,Downing,Calgary,Alberta,Canada,LolaMDowning@jourrapide.com,Facces,403-238-4198,2/23/1947,"Powerhouse electrician","Little Folk Shops"
Todd,Blankenship,Chertsey,Quebec,Canada,ToddHBlankenship@jourrapide.com,Ontwers,450-882-4045,3/11/1963,"Commercial pilot","John M. Smyth's Homemakers"
Gary,Applewhite,Eston,Saskatchewan,Canada,GaryHApplewhite@rhyta.com,Theirthe1964,306-962-5518,3/23/1964,"Training assistant","The White Rabbit"
Theresa,Downs,Guelph,Ontario,Canada,TheresaGDowns@fleckens.hu,Wasso1987,519-803-5884,8/17/1987,Anthropologist,"Personal & Corporate Design"
Jessie,Grimmer,"St Catharines",Ontario,Canada,JessieLGrimmer@jourrapide.com,Therymare,905-980-7642,9/12/1976,"Training administrator","Shoe Kicks"
Roslyn,Enloe,Calgary,Alberta,Canada,RoslynDEnloe@einrot.com,Ourighter,403-257-4597,12/9/1944,"Certified nursing assistant","Grass Roots Yard Services"
John,Burns,Vancouver,"British Columbia",Canada,JohnEBurns@einrot.com,Alry1964,604-836-3284,5/17/1964,"Health psychologist","Modern Realty"
